"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
165	"Lin EK"	1	"Applied Physics Letters"	"2002"	"81 (4)"	"607"	1	"NG1SANS"	"NOT CHRNS"	"Structural characterization of a porous low-dielectric-constant thin film with a non-uniform depth profile"	"Lee HJ"	"Lynn GW"	"Wu WL, O’Neill ML"	"Polymers"	"Porous media"	"High-resolution x-ray reflectivity (XR) and small-angle neutron scattering (SANS) are applied to characterize both the nonuniform depth profile and pore structure of a low-dielectric-constant (low-k) thin film as prepared on a silicon substrate. The XR data show that the density depth profile has a multilayered structure with a dense, nonporous top layer and a less dense, porous bulk layer. A scattering invariant analysis of the SANS data is used to determine the average chord length of the pores, (14.8±2.0) nm, independent of the depth profile. Given the elemental composition of the film, the XR and SANS data are combined to calculate the mass density of the top layer, (1.13±0.05) g/cm3, the porosity of the less dense layer, (0.28±0.10), and the wall density, (0.92±0.15) g/cm3."
167	"Miller MK"	0	"Materials Science and Engineering A"	"2003"	"353 (1-2)"	"133"	1	"NG1SANS"	"NOT CHRNS"	"Precipitation in neutron-irradiated Fe-Cu and Fe-Cu-Mn model alloys: a comparison of APT and SANS data"	"Wirth BD"	"Odette GR"		"Materials science"	"Metal alloys"	"The size, number density and compositions of ultrafine copper–manganese precipitates that form in Fe–0.80at.% Cu and Fe–0.78at.% Cu–1.05at.% Mn model alloys that were neutron irradiated to a fluence of ~1×1023 nm-2 (E>1 MeV) at 288 °C have been estimated by atom probe tomography and small-angle neutron scattering (SANS) experiments. The number density of precipitates was approximately an order of magnitude higher in the Fe–Cu–Mn alloy than in the Fe–Cu alloy. A direct comparison of the microstructural parameters estimated by each technique revealed good agreement between the radii of gyration and the number densities. However, the copper content in precipitates inferred from SANS was significantly higher than estimated from the atom probe results"
168	"Sung L-P"	0	"Nanomaterials for Structural Applications"	"2003"	"740"	"147"	0	"NG7SANS"	"NOT CHRNS"	"Characterization of metal-oxide nanoparticles: synthesis and dispersion in polymeric coatings"	"Scierka S"	"Baghai-Anaraki M"	"et al."	"Materials science"	"Coating material"	"Journal not available online"
169	"Tande BM"	0	"CR Cim"	"2003"	"6 (8-10)"	"853"	0	"NG3SANS"	"CHRNS"	"Phase behavior of hybrid dendron-linear copolymers and blends with linear homopolymer"	"Wagner NJ"	"Mackay ME"		"Polymers"	"Branched polymers"	"Journal not available online"
170	"Tande BM"	0	"Macromolecules"	"2001"	"34 (24)"	"8580"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Viscosimetric, hydrodynamic, and conformational properties of dendrimers and dendrons"	"Wagner NJ"	"Mackay ME"	"Hawker CJ, Jeong M"	"Polymers"	"Branched polymers"	"No abstract"
172	"Toney MF"	1	"Applied Physics Letters"	"2003"	"82 (18)"	"3050"	1	"NG7SANS"	"NOT CHRNS"	"Small-angle neutron scattering measurements of magnetic cluster sizes in magnetic recording disks"	"Rubin KA"	"Choi SM"	"Glinka CJ"	"Condensed matter"	"Magnetism"	"We describe small-angle neutron scattering measurements of the magnetic cluster size distributions for several longitudinal magnetic recording media. We find that the average magnetic cluster size is slightly larger than the average physical grain size, that there is a broad distribution of cluster sizes, and that the cluster size is inversely correlated to the media signal-to-noise ratio. These results show that intergranular magnetic coupling in these media is small and they provide empirical data for the cluster-size distribution that can be incorporated into models of magnetic recording."
173	"Truong MT"	0	"Langmuir"	"2002"	"18 (6)"	"2024"	1	"NG3SANS"	"CHRNS"	"Quantifying the importance of micellar microstructure and electrostatic interactions on the shear-induced structural transition of cylindrical micelles"	"Walker LM"			"Complex fluids"	"Sheared micelles"	"Using static light scattering (SLS) and small-angle neutron scattering (SANS) in conjunction with rheological measurements, the significance of electrostatic interactions and micellar microstructure to the formation of shear-induced structures (SIS) in systems of dilute aqueous cylindrical micelles is investigated. This is accomplished through a systematic study of the influence of increasing NaCl concentration on the dilute aqueous micellar system of 11 mM cetyltrimethylammonium p-toluenesulfonate (CTAT). Concurrent with increases in the zero-shear viscosity (o), low NaCl concentrations lead to the growth of micelles through increases in the degree of screening of electrostatic interactions. These systems, which exhibit discernible electrostatic or correlation peaks in the SANS results, undergo shear-induced structural transitions, whereby critical shear rates tend to increase with NaCl concentration. With further increases in the NaCl concentration, intermicellar electrostatic interactions are adequately screened, and no SIS is observed. The addition of NaCl to these systems increases the micellar flexibility, as shown by SLS. The o of these systems decreases, and the critical shear rates for these shear-thinning systems increases, consistent with expectations for dilute polyelectrolyte systems."
174	"Tucker RT"	1	"Macromolecules"	"2003"	"36 (12)"	"4404"	1	"NG3SANS"	"CHRNS"	"Small-angle neutron scattering analysis of blends with very strong intermolecular interactions: Polyamide/ionomer blends"	"Han CC"	"Dobrynin AV"	"Weiss RA"	"Polymers"	"Ionomers"	"Partially miscible blends of the lithium salt of sulfonated polystyrene ionomer (Li-SPS) and a methylated polyamide (mPA) were studied using small-angle neutron scattering. The blends exhibit lower critical solution temperature behavior (LCST), and the LCST increases with increasing sulfonation level of the ionomer. When the sulfonation level of the ionomer was below 20 mol %, a peak was observed in the scattering structure factor. The position of the peak moved to lower wavevector with increasing sulfonation level and with increasing temperature. The origin of the peak was a correlation hole due to the essential formation of a graft copolymer by the formation of an ion-dipole complex between the amide and sulfonate groups. The tendency of the unsulfonated polystyrene to phase separate from the polyamide was suppressed by the complexation, but it also produced large concentration fluctuations in the blends. The size and intensity of the concentration fluctuations increased with increasing temperature, i.e., as the LCST phase boundary was approached, and decreased with increasing sulfonation level as the length of the unsulfonated chain between sulfonate groups (and complex sites) decreased. The SANS data were successfully modeled with a modified form of the de Gennes model for scattering from a cross-linked polymer blend, which allowed for calculation of an interaction parameter, , for the system. In general, decreased with increasing sulfonation level and with increasing ionomer composition."
175	"Vogt B"	0	"Macromolecules"	"2003"	"36 (11)"	"4029"	1	"NG7SANS"	"NOT CHRNS"	"Phase behavior of polystyrene-block-poly(n-alkyl methacrylate)s dilated with carbon dioxide"	"RamachandraRao VS"	"Gupta TJ"	"Russell TP, Watkins JJ"	"Polymers"	"Pressure effects (CO2)"	"The influence of carbon dioxide (CO2) sorption on the phase behavior of two polystyrene-block-poly(n-alkyl methacrylate) copolymers was studied. One, polystyrene-block-poly(n-hexyl methacrylate), P(S-b-nHMA), exhibits an order-disorder transition (ODT), whereas the other, polystyrene-block-poly(n-butyl methacrylate), P(S-b-nBMA), exhibits a lower disorder-order transition (LDOT). CO2 sorption increases miscibility of the segments in P(S-b-nHMA) slightly: the ODT is depressed by less than 7 C at a CO2 fluid density of 0.25 g/cm3, which corresponds to 7 vol % dilation of the copolymer with CO2 at the conditions studied. In contrast, CO2 sorption decreased the miscibility of P(S-b-nBMA) markedly: the LDOT was depressed by more than 70 C at densities < 0.06 g/cm3, which corresponds to less than 3 vol % sorption of CO2. Unlike P(S-b-nHMA), ordering transitions in CO2-dilated P(S-b-nBMA) exhibit a pronounced thermal hysteresis that increases with increasing volume fraction of sorbed diluent. The hysteresis is a consequence of the sensitivity of the LDOT system to differences in CO2 sorption between the ordered and disordered states, as evidenced by neutron reflectivity measurements. The difference in the effect of CO2 sorption on the phase behavior of the copolymers is attributed to the different nature of the transitions. The entropically driven LDOT is depressed by differential dilation of the copolymer domains, which increases both the compressibility of the system and disparities in compressibility between the blocks. In contrast, the enthalpically driven ODT is depressed by the screening of segmental interactions by CO2 and is less sensitive to compressibility."
176	"Wagner NJ"	0	"MRS Bulletin"	"2004"	"29 (2)"	"100"	0	"NG3SANS"	"CHRNS"	"The role of nanoscale forces in colloid dispersion rheology"	"Bender JW"			"Complex fluids"	"Shear effects"	"Journal not available online"
177	"Walker LM"	0	"Current Opinion in Colloid & Interface Science"	"2001"	"6 (5-6)"	"451"	1	"NG3SANS"	"CHRNS"	"Rheology and structure of worm-like micelles"				"Complex fluids"	"Shear effects"	"Journal not available online"
178	"Wang H"	1	"Physical Review E"	"2003"	"67 (6)"	"060902"	1	"NG1SANS"	"NOT CHRNS"	"Kinetic pathway of the bilayered-micelle to perforated-lamellae transition"	"Nieh M-P"	"Hobbie EK"	"Glinka CJ, Katsaras J"	"Complex fluids"	"Nanophases"	"Using time-resolved small-angle neutron scattering, we have studied the kinetics of the recently observed bilayered-micelle (or so-called \"bicelle\") to perforated-lamellar transition in phospholipid mixtures. The data suggest that phase-ordering occurs via the early-time coalescence of bicelles into stacks of lamellae that then swell. Our measurements on this biomimetic system highlight the ubiquitous role of transient metastable states in the phase ordering of Complex fluids."
179	"Wang H"	0	"P Combust Inst"	"2003"	"29 (Part 2)"	"2749"	0	"NG3SANS"	"CHRNS"	"Small-angle neutron scattering of soot formed in laminar premixed ethylene flames"	"Zhao B"	"Wyslouzil B"	"et al"	"Complex fluids"	"Nozzle spray"	"Journal not available online"
181	"Wang Z"	0	"Acta Materialia"	"2003"	"51 (18)"	"5319"	1	"NG3SANS"	"CHRNS"	"Effects of pores and interfaces on effective properties of plasma sprayed zirconia coatings"	"Kulkarni A"	"Deshpande S"	"Nakamura T, Herman H"	"Materials Science"	"Sprayed coatings"	"It is difficult to establish structure–property relationships in plasma sprayed coatings because of their unique and intermingled splat microstructures incorporating networks of various intrinsic process-dependent microdefects. In this paper, these coatings are characterized using two distinctly different approaches, both based on novel experimental techniques and computational modeling tools. In each approach, detailed finite element models are illustrated to represent the porous coatings fabricated with four different types of zirconia feed powder. One approach is based on small-angle neutron scattering (SANS) studies carried out to quantify microstructure. In this approach, the pore morphology is idealized by artificially rebuilding, based on the collective microstructural information obtained in terms of component porosities of three pore systems, their opening dimensions and orientation. The other method relies on image analysis of real microstructural images obtained using scanning electron microscopy (SEM). The finite element mesh for the actual cross-sectional model, generated by thresholding the SEM images, is constructed with the object oriented finite (OOF) element method. Through these two approaches, the effective thermal conductivity and elastic modulus along the spray, as well as the transverse directions are estimated for thermally sprayed yttria-stabilized zirconia (PSZ) coatings. Our results show the effectiveness of these computational approaches for estimating material properties with each approach having its strength and weakness. However, in comparison with experimentally measured properties, there exist some limitations in both approaches. To further probe the source of discrepancy within the measurements, the coatings are thermal cycled to reduce the effect of splat boundaries on properties. Additional models are constructed for these coatings and their analysis is carried out. For the first time, the influence of the splat interfaces on the effective properties of sprayed coatings is quantified."
182	"Chen WR"	1	"Physical Review E"	"2003"	"68 (4)"	"041402"	1	"NG7SANS"	"NOT CHRNS"	"Neutron- and light-scattering studies of the liquid-to-glass and glass-to-glass transitions in dense copolymer micellar solutions"	"Mallamace F"	"Glink CJ"	"Fratini E, Chen SH"	"Complex fluids"	"Micellar structure"	"Recent mode coupling theory (MCT) calculations show that if a short-range attractive interaction is added to the pure hard sphere system, one may observe a new type of glass originating from the clustering effect (the attractive glass) as a result of the attractive interaction. This is in addition to the known glass-forming mechanism due to the cage effect in the hard sphere system (the repulsive glass). The calculations also indicate that if the range of attraction is sufficiently short compared to the diameter of the particle, within a certain interval of volume fractions where the two glass-forming mechanisms nearly balance each other, varying the external control parameter, the effective temperature, makes the glass-to-liquid-to-glass reentrance and the glass-to-glass transitions possible. Here we present experimental evidence of both transitions, obtained from small-angle neutron-scattering and photon correlation measurements taken from dense L64 copolymer micellar solutions in heavy water. Varying the temperature in certain predicted volume fraction range triggers a sharp transition between these two different types of glass. In particular, according to MCT, there is an end point (called A3 singularity) of this glass-to-glass transition line, beyond which the long-time dynamics of the two glasses become identical. Our findings confirm this theoretical prediction. Surprisingly, although the Debye-Waller factors, the long-time limit of the coherent intermediate scattering functions, of these two glasses obtained from photon correlation measurements indeed become identical at the predicted volume fraction, they exhibit distinctly different intermediate time relaxation. Furthermore, our experimental results obtained from volume fractions beyond the end point are characterized by the same features as the repulsive glass obtained before the end point. A complete phase diagram giving the boundaries of the structural arrest transitions for L64 micellar system is given."
183	"Weissmuller J"	1	"Physical Review B"	"2001"	"63 (21)"	"214414"	1	"NG3SANS"	"CHRNS"	"Analysis of the small-angle neutron scattering of nanocrystalline ferromagnets using a micromagnetics model"	"Michels A"	"Barker JG"	"Wiedenmann A, Erb U, Shull RD"	"Condensed matter"	"Magnetism"	"In ferromagnets with a nonuniform magnetocrystalline and/or magnetoelastic anisotropy, such as nanocrystalline (nc-) or cold-worked (cw-) polycrystalline materials, the static magnetic microstructure gives rise to strong elastic magnetic small-angle neutron scattering (SANS). The paper explores a method for analyzing field-dependent SANS data from such materials in terms of a model based on the theory of micromagnetics. Samples of cw Ni and of electrodeposited nc Ni and nc Co were characterized by x-ray scattering and magnetometry, and were investigated by SANS both with and without polarization of the neutron beam. The variation of the differential scattering cross section with the scattering vector and with the applied magnetic field is well described by the model. Also, experimental results for the exchange stiffness constant A and for the spin-wave stiffness constant D obtained from the analysis are found to agree with literature data obtained by inelastic neutron scattering on single-crystal specimens. The model supplies an \"anisotropy field scattering function\" that contains information on the magnitude of the magnetic anisotropy in the material, and on the characteristic length scales on which the anisotropy changes direction. The results suggest that the anisotropy may be strongly nonuniform in each crystallite, possibly due to twinning, and that some magnetic moments in the Ni samples are strongly pinned at defects."
184	"Weissmuller J"	0	"Scripta Materialia"	"2001"	"44 (8-9)"	"2357"	1	"NG3SANS"	"CHRNS"	"Magnetic small-angle neutron scattering by nanocrystalline terbium"	"Michels D"	"Michels A"	"Wiedenmann A, Krill CE, Sauer HM, Birringer R"	"Condensed matter"	"Magnetism"	"Volumes <48 not available online"
185	"Wesley RD"	0	"Langmuir"	"2002"	"18 (15)"	"5704"	1	"NG3SANS"	"CHRNS"	"Structure of polymer/surfactant complexes formed by poly(2-(dimethylamino)ethyl methacrylate) and sodium dodecyl sulfate"	"Cosgrove T"	"Thompson L"	"Armes SP, Baines FL"	"NOT CHRNS"	"Complexes structure"	"The small-angle neutron scattering from poly(2-(dimethylamino)ethyl methacrylate) (PDMAEMA) has been investigated in the presence of the anionic surfactant, sodium dodecyl sulfate (SDS). At pH 9.1, the polymer is a Gaussian coil whose size is determined primarily by nonelectrostatic interactions. The presence of the polymer induces micellization of the surfactant, even at surfactant concentrations below the surfactant's normal critical micelle concentration. The polymer decorates the surfactant micelles and in some respects resembles a polymer adsorbed on a spherical particle."
186	"Wiyatno W"	0	"Macromolecules"	"2003"	"36 (4)"	"1178"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Component stress-strain behavior and small-angle neutron scattering investigation of stereoblock elastomeric polypropylene"	"Fuller GG"	"Pople JA"	"Gast AP, Chen Z, Waymouth RM, Myers CL"	"Polymers"	"Elastomers"	"Elastomeric polypropylene (ePP) produced from unbridged 2-arylindene metallocene catalysts was studied by uniaxial tensile and small-angle neutron scattering (SANS) techniques. The ePP can be separated into the following: a low tacticity fraction soluble in ether (ES), an intermediate tacticity fraction soluble in heptane (HS), and a high tacticity fraction insoluble in heptane (HI). Tensile properties of ePP were compared to its solvent fractions, and the role of each solvent fraction residing within ePP was investigated by blending 5 wt % deuterated fraction with ePP. The tensile properties of each fraction vary considerably, exhibiting properties from a weak gum elastomer for ES, to a semicrystalline thermoplastic for HI. The intermediate tacticity HS fraction exhibits elastic properties similar to the parent elastomer (ePP). In the melt at 160 C, SANS shows that all deuterated fractions are homogeneously mixed with ePP. Slow cooling from the melt to 25 C causes the low tacticity fraction to preferentially segregate in amorphous domains due to different crystallization temperatures and kinetics although, despite its low crystallinity (2%), the low tacticity fraction can cocrystallize with the matrix. The dES-ePP shows little or no relaxation when held under strain and recovers readily upon the release of stress. The high tacticity component (dHI-ePP) retains its plastic properties in the blend."
187	"Yang L"	0	"Biophysical Journal"	"2001"	"81 (3)"	"1475"	1	"NG3SANS"	"CHRNS"	"Barrel-stave model or toroidal model? A case study on melittin pores"	"Harroun TA"	"Weiss TM"	"Ding L, Huang H"	"Biology"	"Lipid bilayers"	"Transmembrane pores induced by amphiphilic peptides, including melittin, are often modeled with the barrel-stave model after the alamethicin pore. We examine this assumption on melittin by using two methods, oriented circular dichroism (OCD) for detecting the orientation of melittin helix and neutron scattering for detecting transmembrane pores. OCD spectra of melittin were systematically measured. Melittin can orient either perpendicularly or parallel to a lipid bilayer, depending on the physical condition and the composition of the bilayer. Transmembrane pores were detected when the helices oriented perpendicularly to the plane of the bilayers, not when the helices oriented parallel to the bilayers. The evidence that led to the barrel-stave model for alamethicin and that to the toroidal model for magainin were reviewed. The properties of melittin pores are closely similar to that of magainin but unlike that of alamethicin. We conclude that, among naturally produced peptides that we have investigated, only alamethicin conforms to the barrel-stave model. Other peptides, including magainins, melittin and protegrins, all appear to induce transmembrane pores that conform to the toroidal model in which the lipid monolayer bends continuously through the pore so that the water core is lined by both the peptides and the lipid headgroups."
188	"Yang L"	0	"Biophysical Journal"	"2000"	"79 (4)"	"2002"	1	"NG3SANS"	"CHRNS"	"Crystallization of antimicrobial pores in membranes: Magainin and protegrin"	"Weiss TM"	"Lehrer RI"	"Huang H"	"Biology"	"Lipid bilayers"	"Membrane pores spontaneously formed by antimicrobial peptides in membranes were crystallized for the first time by manipulating the sample hydration and temperature. Neutron diffraction shows that magainins and protegrins form stable pores in fully hydrated fluid membranes. At lower hydration levels or low temperature, the membrane multilayers crystallize. In one crystalline phase, the pores in each bilayer arrange in a regular hexagonal array and the bilayers are stacked into a hexagonal ABC lattice, corresponding to the cubic close-packed structure of spheres. In another crystalline phase, the bilayers are modulated into the rippled multilamellae, corresponding to a 2D monoclinic lattice. The phase diagrams are described. Crystallization of the membrane pores provides possibilities for diffraction studies that might provide useful information on the pore structures."
189	"Yong W"	0	"Proceedings of the National Acadamy of Sciences"	"2002"	"99 (1)"	"150"	1	"NG7SANS"	"NOT CHRNS"	"Structure determination of micelle-like intermediates in amyloid beta-protein fibril assembly by using small angle neutron scattering"	"Lomakin A"	"Kirkitadze MD"	"Teplow DB, Chen SH, Benedek GB"	"Biology"	"Protein assembly"	"Increasing evidence supports the hypothesis that amyloid ?-protein (A?) assembly is a key pathogenic feature of Alzheimer's disease. Thus, understanding the assembly process offers opportunities for the development of strategies for treating this devastating disease. In prior studies, A? was found to form micelle-like aggregates under acidic conditions. These structures exhibited an average observed hydrodynamic radius of 7 nm. They were found to be in rapid equilibrium with A? monomers or low molecular weight oligomers, and were centers of fibril nucleation. Here the technique of small angle neutron scattering has been used to determine the structure of these A? micelles. The data reveal that the micellar assemblies comprise 30–50 A? monomers and have elongated geometries. The best fit of the data to a uniform spherocylinder yields a radius ?2.4 nm and cylinder length ?11 nm. These structure parameters remain constant over more than a decade in concentration range. The concentration independence of the length of the cylindrical aggregate indicates the presence of an internal nonrepetitive structure that spans the entire length of the A? assembly."
190	"Young SK"	0	"Journal of Polymer Science B"	"2002"	"40 (4)"	"387"	1	"NG7SANS"	"NOT CHRNS"	"Small-angle neutron scattering investigation of structural changes in Nafion membranes induced by swelling with various solvents"	"Trevino SF"	"Tan NCB"		"Polymers"	"Ionomers"	"The structure of Nafion-117 perfluorosulfonate ionomer membranes was investigated with small-angle neutron scattering techniques. Structural changes induced by the swelling of the membranes with water, alcohols, and dipolar, aprotic solvents were monitored at solvent-swelling levels ranging from approximately 2 vol % to greater than 50 vol %. Membranes swollen up to approximately 50 vol % solvent exhibited two scattering maxima, one known to be associated with ionic regions of the membrane structure and one known to be associated with correlation distances between crystalline regions in the membrane structure. The positions of both maxima shifted toward lower scattering vector values as the solvent content in the membrane increased. The shift in the position of both maxima was linearly related to the solvent volume fraction in the membrane. The Bragg spacings corresponding to both the ionic-feature scattering maximum and the crystalline-feature scattering maximum were plotted versus the solvent volume fraction in the membranes, and the data fit with linear regression. The slopes associated with the curves of the spacing versus the solvent volume fraction were greater for the crystalline-feature spacing than for the ionic-feature spacing for all solvents other than water; this was indicative of preferential segregation of nonaqueous solvents into regions of the structure not directly associated with the ionic scattering maximum."
191	"Yun SI"	0	"Abstr Pap Am Chem S 222: 135-PMSE part 2 (2001)"	"2001"			0	"NG3SANS"	"CHRNS"	"Small angle neutron scattering of arborescent graft poly(styrene)-poly(2-vinylpyridine) polymers."	"Briber RM"	"Kee RA"	"et al"	"Polymers"	"Branched polymers"	"Journal not available online"
192	"Yun SI"	0	"Polymer"	"2003"	"44 (21)"	"6579"	1	"NG3SANS"	"CHRNS"	"Small-angle neutron scattering of arborescent polystyrene-graft-poly(2-vinylpyridine) copolymers"	"Briber RM"	"Kee RA"	"Gauthier M"	"Polymers"	"Branched polymers"	"Small-angle neutron scattering was used to characterize the structure of arborescent polystyrene-graft-poly(2-vinylpyridine) copolymers dissolved in methanol-d4 (CD3OD). A radial density profile based on a power law functional form provided a good fit to the scattering data. While a model with homogeneous density profiles in the core and shell, respectively, and with a size distribution (a polydisperse core–shell model) also fits the data comparably well, the extra parameters required for this fit are difficult to justify on the basis of the data. In addition, unconstrained fits using the core–shell model failed to converge to values of the overall molecular size and molecular weight which agreed with values determined from independent light scattering measurements which leads to the conclusion that the power law model is a more appropriate function for describing the radial density function of these molecules. The density profile from either model showed that the polystyrene core of the molecules is not collapsed. Values of the second virial coefficient, A2, have been calculated from Zimm plots and it was found that A2 decreased as a function of generation to close to zero for the highest generation (i.e. highest molecular weight) polymers. Finally, it was found that the radius of gyration of the polymers increases with the molecular weight according to the scaling relationship, Rg~Mwv with v=0.24±0.04."
193	"Yurekli K"	1	"Macromolecules"	"2004"	"37 (2)"	"507"	1	"NG7SANS"	"NOT CHRNS"	"Phase behavior of PS-PVME nanocomposites"	"Karim A"	"Amis EJ"	"Krishnamoorti R"	"Polymers"	"Nanocomposites"	"The influence of nanometer thick, highly anisotropic organically modified layered silicate (montmorillonite) on the phase behavior of deuterated polystyrene (dPS) and poly(vinyl methyl ether) (PVME) is investigated by a combination of small-angle neutron scattering (SANS) and a two-dimensional combinatorial method based on light scattering and corroborated by single-point static cloud-point light scattering. The presence of layered silicates up to a volume fraction of 0.04 is found to leave the phase diagram essentially unchanged, with the values of the Flory-Huggins parameter at high temperatures being nearly independent of added silicate for blends with layered silicates up to a volume fraction of 0.008. These surprising results, in light of the significantly higher polarity of PVME in comparison to PS, allows us to investigate the influence of such layered silicates on the kinetics and morphology of phase separation in polymer blends as detailed in a previous paper."
194	"Zhou J"	0	"Abstr Pap Am Chem S 224: 262-phys part 2 (2002)"	"2002"			0	"NG3SANS"	"CHRNS"	"Small angle neutron scattering studies of PNA & DNA systems."	"Deyhim A"	"Krueger S"	"et al"	"Biology"	"DNA"	"Journal not available online"
195	"Zhou W"	1	"Chemical Physics Letters"	"2004"	"384 (1-3)"	"185"	1	"NG7SANS"	"NOT CHRNS"	"Small angle neutron scattering from single-wall carbon nanotube suspensions: evidence for isolated rigid rods and rod networks"	"Islam MF"	"Wang H"	"Ho DL, Yodh AG, Winey KI, Fischer JE"	"Materials science"	"Nanoparticles"	"We report small angle neutron scattering (SANS) from dilute suspensions of purified individual single wall carbon nanotubes (SWNTs) in D2O with added sodium dodecylbenzene sulfonate ionic surfactant. The scattered intensity scales as Q-1 for scattered wave vector, Q, in the range 0.005<Q<0.02 . The Q-1 behavior is characteristic of isolated rigid rods. A crossover of the scattered intensity power law dependence from Q-1 to Q-2 is observed at ~0.004 , suggesting the SWNTs form a loose network at 0.1 wt% with a mesh size of ~160 nm. SANS profiles from several other dispersions of SWNTs do not exhibit isolated rigid rod behavior; evidently the SWNTs in these systems are not isolated and form aggregates."
196	"Allen AJ"	0	"Surface & Coatings Technology"	"2001"	"146"	"544"	0	"NG7SANS"	"NOT CHRNS"	"Microstructural characterization studies to relate the properties of thermal-spray coatings to feedstock and spray conditions"	"Long GG"	"Boukari H"	"et al."	"Materials science"	"Coatings"	"Journal not available online"
197	"Bauer BJ"	1	"Rapid Communications on Mass Spectroscopy"	"2002"	"16 (15)"	"1494"	1	"NG1SANS"	"NOT CHRNS"	"Small angle neutron scattering measurements of synthetic polymer dispersions in matrix-assisted laser desorption/ionization matrixes"	"Byrd HCM"	"Guttman CM"		"Polymers"	"Polymer dispersions"	"Small angle neutron scattering (SANS) is used to measure the size and the dispersion of synthetic polymers in matrix-assisted laser desorption/ionization (MALDI) matrixes. Deuterated polystyrene (DPS) and dithranol in tetrahydrofuran were deposited by electrospray onto a substrate for small angle neutron scattering (SANS) measurements. DPS with 6050 and 27 000 g mol-1 molecular masses were prepared at mass fractions between 0.2 and 6%. All samples contained large aggregates of DPS with characteristic sizes >200 Å that represent hundreds of aggregated chains. Samples of mass fraction 1% DPS (6050 g mol-1) in 2,5-dihydroxybenzoic acid, all-trans-retinoic acid, and sinapinic acid also have large zero angle scattering characteristic of large aggregates. The morphological trend obtained from the SANS measurements of the DPS aggregate size in the four matrixes is dithranol > 2,5-dihydroxybenzoic acid > all-trans-retinoic acid > sinapinic acid. These measurements indicate that DPS in dithranol exhibits the most strong phase separation, while DPS in sinapinic acid shows considerable domain mixing. All of these matrixes produce MALDI signal strength under appropriate conditions, suggesting that strong phase separation does not diminish the signal-to-noise ratio. DPS (188 000 g mol-1) in biphenyl was used as a model system of a matrix that can be either crystalline or amorphous. SANS data shows that above the biphenyl melting point, a conventional solution is formed that has molecularly dispersed polymers. Upon crystallization, there is strong aggregation of the DPS into large domains. Therefore, the crystalline matrixes commonly used in MALDI measurements probably cause large aggregations of polymers to be present during the MALDI process. Published in 2002 by John Wiley & Sons, Ltd."
198	"Bauer BJ"	1	"Rapid Communications on Mass Spectroscopy"	"2002"	"16 (12)"	"1192"	1	"NG1SANS"	"NOT CHRNS"	"Tri-alpha-naphthylbenzene as a crystalline or glassy matrix for matrix-assisted laser desorption/ionization: a model system for the study of effects of dispersion of polymer samples at a molecular level"	"Guttman CM"	"Liu DW"	"Blair WR"	"Polymers"	"Polymer dispersion"	"Tri--naphthylbenzene (TNB) can exist as either a crystalline or glassy solid at ambient temperatures, making it a unique matrix in matrix-assisted laser desorption/ionization (MALDI) spectroscopy. Electrosprayed TNB is crystalline and has a melting point of 180 ± 2 °C, as measured by differential scanning calorimetry (DSC). A glass of TNB is obtained upon heating above the crystalline melting point with a glass transition temperature of 68 ± 2 °C having no remaining crystallinity. MALDI samples containing mass fraction 1% polystyrene (PS) are run in both the crystalline and amorphous states. In the crystalline state, there is a strong spectrum typical of PS, but upon melting and quenching to the glassy state, the MALDI signal disappears. If the transparent, amorphous sample is treated with 1-butanol, it becomes white, and the MALDI signal returns. DSC shows that the 1-butanol treatment leads to the return of some of the crystallinity. Small angle neutron scattering (SANS) shows that the crystalline state has large aggregations of PS while the amorphous state has molecularly dispersed PS molecules. MALDI gives strong signals only when there are large aggregations of polymer molecules, with individually dispersed molecules producing no signal. Published in 2002 by John Wiley & Sons, Ltd."
199	"Bauer BJ"	1	"Journal of Electronic Materials"	"2001"	"30 (4)"	"304"	0	"NG1SANS"	"NOT CHRNS"	"Structure and property characterization of low-k dielectric porous thin films"	"Lin EK"	"Lee HJ"	"et al."	"Materials science"	"Porous media"	"Journal not available online"
